CTS,X127,Certified Information Systems Security Professional (CISSP),0.5,Information Technology (IT)
CTS,X131,A+ Hardware,0.5,Information Technology (IT)
CTS,X131C,A+ Hardware,0.5,Information Technology (IT)
CTS,X132,A+ Hardware II,0.5,Information Technology (IT)
CTS,X133,A+ Software,0.5,Information Technology (IT)
CTS,X133C,A+ Software,0.5,Information Technology (IT)
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
CTS,X134,Computer Architecture Concepts- Upper,0.5,Information Technology (IT)
CTS,X134C,Computer Architecture Concepts- Upper,0.5,Information Technology (IT)
CTS,X142,Project +,0.5,Information Technology (IT)
CTS,X145,Cloud Essential,0.5,Information Technology (IT)
CTS,X145C,Cloud Essential,0.5,Information Technology (IT)
CTS,X154,Technical Support,0.5,Information Technology (IT)
CTS,X155,User Support,0.5,Information Technology (IT)
CTS,X156,Desktop Support,0.5,Information Technology (IT)
CTS,X156C,Desktop Support,0.5,Information Technology (IT)
CTS,X163,Configuring Windows 7 Client (70-680 Exam/MCITP),0.5,Information Technology (IT)
CTS,X163C,Configuring Windows 7 Client (70-680 Exam/MCITP),0.5,Information Technology (IT)
CTS,X301,Linux Network File System and Automounter,0.5,Information Technology (IT)
CTS,X301C,Linux Network File System and Automounter,0.5,Information Technology (IT)
CTS,X302,Implementing and Administering WIN 2000 Active Sir. Srvcs.,0.5,Information Technology (IT)
CTS,X302C,Implementing and Administering WIN 2000 Active Sir. Srvcs.,0.5,Information Technology (IT)
CTS,X303,Designing a WIN 2000 Directory Services Infrastructure,0.5,Information Technology (IT)
CTS,X304,Implementing and Administering Network Infrastructures,0.5,Information Technology (IT)
CTS,X305,Implementing Network Infrastructure,0.5,Information Technology (IT)
CTS,X306,Implementing a Network Infrastructure,0.5,Information Technology (IT)
CTS,X306C,Implementing a Network Infrastructure,0.5,Information Technology (IT)
CTS,X311,Linux System Security,0.5,Information Technology (IT)
CTS,X314,Network Defense and Countermeasures,0.5,Information Technology (IT)
CTS,X314C,Network Defense and Countermeasures,0.5,Information Technology (IT)
CTS,X315,Intrusion Detection and Firewalls,0.5,Information Technology (IT)
CTS,X321,Linux System Administration,0.5,Information Technology (IT)
CTS,X321C,Linux System Administration,0.5,Information Technology (IT)
CTS,X322,Linux System Administration II,0.5,Information Technology (IT)
CTS,X322C,Linux System Administration II,0.5,Information Technology (IT)
CTS,X327,MS Windows Administration,0.5,Information Technology (IT)
CTS,X328,Microsoft Windows 2003 Server,0.5,Information Technology (IT)
CTS,X333,Linux Networking Administration,0.5,Information Technology (IT)
CTS,X334,MS Windows Network Infrastructure,0.5,Information Technology (IT)
CTS,X334C,MS Windows Network Infrastructure,0.5,Information Technology (IT)
CTS,X348,Unix System Administration- Upper,0.5,Information Technology (IT)
CTS,X370,Virtual Infrastructure: Installation and Configuration,0.5,Information Technology (IT)
CTS,X370C,Virtual Infrastructure: Installation and Configuration,0.5,Information Technology (IT)
CTS,X371,"Virtual Infrastructure: Deployment, Security and Analysis",0.5,Information Technology (IT)
CTS,X371C,"Virtual Infrastructure: Deployment, Security and Analysis",0.5,Information Technology (IT)
CTS,X372,Virtualized Server Implementation I,0.5,Information Technology (IT)
CTS,X372C,Virtualized Server Implementation I,0.5,Information Technology (IT)
CTS,X375,Cloud Infrastructure and Services,0.5,Information Technology (IT)
CTS,X375C,Cloud Infrastructure and Services,0.5,Information Technology (IT)
CTS,X383,Microsoft Windows Server,0.5,Information Technology (IT)
CTS,X383C,Microsoft Windows Server,0.5,Information Technology (IT)
CTS,X387,Linux/Unix Fundamentals- AS Only,0.5,Information Technology (IT)
CTS,X390,Installing and Configuring Windows Server 2012,0.5,Information Technology (IT)
CTS,X390C,Installing and Configuring Windows Server 2012,0.5,Information Technology (IT)
CTS,X391,Administering Windows Server 2012,0.5,Information Technology (IT)
CTS,X391C,Administering Windows Server 2012,0.5,Information Technology (IT)
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
CTS,X392,Configuring Advanced Windows Server 2012,0.5,Information Technology (IT)
CTS,X392C,Configuring Advanced Windows Server 2012,0.5,Information Technology (IT)
CTS,X400,Introduction to Access 1-2 credits,0.5,Information Technology (IT)
CTS,X411,Information Storage Management,0.5,Information Technology (IT)
CTS,X433,MS Database Design and Implementation,0.5,Information Technology (IT)
CTS,X433C,MS Database Design and Implementation,0.5,Information Technology (IT)
CTS,X440,Introduction to Oracle SQL,0.5,Information Technology (IT)
CTS,X441,Oracle Database Administration I,0.5,Information Technology (IT)
CTS,X442,Oracle Database Administration II,0.5,Information Technology (IT)
CTS,X442C,Oracle Database Administration II,0.5,Information Technology (IT)
CTS,X444,Performance Tuning,0.5,Information Technology (IT)
CTS,X444C,Performance Tuning,0.5,Information Technology (IT)
CTS,X651,Cisco Router Technology,0.5,Information Technology (IT)
CTS,X651C,Cisco Router Technology,0.5,Information Technology (IT)
CTS,X652,Cisco Advanced Router Technology,0.5,Information Technology (IT)
CTS,X652C,Cisco Advanced Router Technology,0.5,Information Technology (IT)
CTS,X653,Cisco Project Based Learning,0.5,Information Technology (IT)
CTS,X664,CCNA Security,0.5,Information Technology (IT)
CTS,X664C,CCNA Security,0.5,Information Technology (IT)
CTS,X939,Special Topics/Seminars,0.5,Information Technology (IT)
CVT,X000,Introduction to Cardiovascular Technology,0.5,Health Science
CVT,X000C,Introduction to Cardiovascular Technology,0.5,Health Science
CVT,X100L,Cardiovascular Clinical I,0.5,Health Science
CVT,X110L,Cardiovascular Practicum II,0.5,Health Science
CVT,X120L,Cardiovascular Clinical III,0.5,Health Science
CVT,X205C,Cardiovascular Drugs & Emergencies,0.5,Health Science
CVT,X211,Critical Care Applications,0.5,Health Science
CVT,X211C,Critical Care Applications,0.5,Health Science
CVT,X220,Cardiovascular Pharmacology,0.5,Health Science
CVT,X260C,Invasive Cardiology I: Cardiopulmonary Anat & Phys,0.5,Health Science
CVT,X261,Cardiovascular Anatomy and Physiology,0.5,Health Science
CVT,X261C,Cardiovascular Anatomy and Physiology,0.5,Health Science
CVT,X270,Pathophysiology,0.5,Health Science
CVT,X420,Invasive Cardiology I,0.5,Health Science
CVT,X420C,Invasive Cardiology I,0.5,Health Science
CVT,X421,Invasive Cardiology II,0.5,Health Science
CVT,X421C,Invasive Cardiology II,0.5,Health Science
CVT,X500,ECG Interpretation,0.5,Health Science
CVT,X500C,ECG Interpretation,0.5,Health Science
CVT,X511,Radiation Biology & Safety,0.5,Health Science
CVT,X620,Non-Invasive Cardiology I,0.5,Health Science
CVT,X620C,Non-Invasive Cardiology I,0.5,Health Science
CVT,X800L,CVT Clinical Practicum,0.5,Health Science
CVT,X801L,Cardiovascular Pre Practicum II,0.5,Health Science
CVT,X805C,Cardiovascular Interventional Pre Practicum,0.5,Health Science
CVT,X840,Cardiopulmonary Practicum I,1.5,Health Science
CVT,X840L,Cardiopulmonary Practicum I,0.5,Health Science
CVT,X841,Cardiopulmonary Clinic II,1,Health Science
CVT,X841L,Cardiopulmonary Clinic II,0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
CVT,X842L,Non-Invasive Practicum,0.5,Health Science
CVT,X843L,"Cardiovascular Clinical Practicum, IV",0.5,Health Science
CVT,X844L,Cardiovascular Clinical Practicum V,0.5,Health Science
DEA,5,Dental Laboratory Technician OCP F (270 hours),1.5,Health Science
DEA,29,Dental Specialties,0.5,Health Science
DEA,709,Crown and Bridge Technician OCP D (370 hours),2,Health Science
DEA,710,Ceramic Technician OCP E (245 hours),1.5,Health Science
DEA,713,Denture Technician (2 of 2) OCP B (345 hours),2,Health Science
DEA,725,Introduction to Dental Assisting (90 hours),0.5,Health Science
DEA,726,Dental Technician (210 hours),1,Health Science
DEA,727,Dental Assisting I (465 hours),3,Health Science
DEA,728,Dental Assisting II (465 hours),3,Health Science
DEA,850,Clinical Externship I,0.5,Health Science
DEA,851,Clinical Externship II,1,Health Science
DEA,0020C,Preclinical Orientation I,0.5,Health Science
DEA,0020L,Preclinical Orientation I,0.5,Health Science
DEA,0800L,Clinical Practice I,0.5,Health Science
DEA,0801C,Clinical Practice II,0.5,Health Science
DEA,0801L,Clinical Practice II,1,Health Science
DEA,0803L,Clinical Practice I,1,Health Science
DEA,0834L,Expanded Duties,0.5,Health Science
DEA,0850L,Clinical Externship I,1,Health Science
DEA,0851L,Clinical Externship II,1,Health Science
DEA,0852L,Clinical Practice II,1,Health Science
DEA,X030,Preclinical (L),0.5,Health Science
DEA,X030L,Preclinical (L),0.5,Health Science
DEA,X805,Dental Externship,0,Health Science
DEA,X805L,Dental Externship,0.5,Health Science
DEA,X855L,Clinical Practice II,0.5,Health Science
DEH,X002,Clinical Dental Hygiene Procedures,0.5,Health Science
DEH,X002C,Clinical Dental Hygiene Procedures,0.5,Health Science
DEH,X002L,Clinical Dental Hygiene Procedures,0.5,Health Science
DEH,X003C,Pre-Clinical Dental Hygiene I,0.5,Health Science
DEH,X003L,Pre-Clinical Dental Hygiene I,0.5,Health Science
DEH,X602,Periodontology I,0.5,Health Science
DEH,X702C,Community Dental Health,0.5,Health Science
DEH,X800C,Dental Hygiene I,0.5,Health Science
DEH,X800L,Dental Hygiene I,0.5,Health Science
DEH,X802C,Dental Hygiene II,0.5,Health Science
DEH,X802L,Dental Hygiene II,0.5,Health Science
DEH,X804C,Clinical Dental Hygiene III,0.5,Health Science
DEH,X804L,Clinical Dental Hygiene III,0.5,Health Science
DEH,X806C,Dental Hygiene IV,0.5,Health Science
DEH,X806L,Dental Hygiene IV,0.5,Health Science
DEH,X808L,Dental Hygiene IV,1,Health Science
DEH,X812L,Dental Hygiene IV,0.5,Health Science
DES,0205C,Dental Radiography,0.5,Health Science
DES,X020,Dental Anatomy/Head and Neck (Articulated),0.5,Health Science
DES,X100C,Dental Materials,0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
DES,X103C,Dental Materials and Expanded Duties,0.5,Health Science
DES,X200C,Dental Radiography (Articulated Course),0.5,Health Science
DES,X805L,Clinical Procedures I Lab,0.5,Health Science
DES,X833C,Expanded Functions II (L),0.5,Health Science
DIG,73,Digital Media Artist OCP B (150 hours),1,"Arts, A/V Technology & Communication"
DIG,74,Digital Media Specialist OCP C (150 hours),1,"Arts, A/V Technology & Communication"
DIG,75,Game Programmer OCP B (150 hours),1,"Arts, A/V Technology & Communication"
DIG,76,Game Software Developer OCP C (150 hours),1,"Arts, A/V Technology & Communication"
DIG,80,Digital Media Technician (600 hours),4,"Arts, A/V Technology & Communication"
DIG,X060,3-D Animation Production Assistant,1,Career/Technical Education
DIG,X061,Modeler,2,Career/Technical Education
DIG,X062,Texture Artist/Rigger,2,Career/Technical Education
DIG,X063,Animation/Motion Capture Technician,2,Career/Technical Education
DIG,X070,Game/Simulation Designer,2,Career/Technical Education
DIG,X071,Game/Simulation Graphic Artist,1,Career/Technical Education
DIG,X072,Game/Simulation 3D Animator,1,Career/Technical Education
DIG,X073,Digital Media Artist,1,Career/Technical Education
DIG,X074,Digital Media Specialist,1,Career/Technical Education
DIG,X100,Web Design I,0.5,Information Technology (IT)
DIG,X100C,Web Design I,0.5,Information Technology (IT)
DIG,X101,Web Design II,0.5,Information Technology (IT)
DIG,X101C,Web Design II,0.5,Information Technology (IT)
DIM,4,Introduction to Diesel Mechanics (PSAV),1,"Transportation, Distribution & Logistics"
DIM,6,Introduction to Diagnosis and Repair (PSAV),1,"Transportation, Distribution & Logistics"
DIM,7,Braking Systems (PSAV),1,"Transportation, Distribution & Logistics"
DIM,8,Advanced Braking Systems (PSAV),1,"Transportation, Distribution & Logistics"
DIM,14,Diesel Engine- Basic Systems/Academic OCP A 3 of 3,1,"Transportation, Distribution & Logistics"
DIM,101,Diesel Engine Technician Helper OCP A (150 hours),1,"Transportation, Distribution & Logistics"
DIM,102,Diesel Electrical and Electronics Technician OCP B (150 hours),2,"Transportation, Distribution & Logistics"
DIM,103,Diesel Equipment Preventative Maintenance Technician OCP A (150 hours),1,"Transportation, Distribution & Logistics"
DIM,104,Diesel Engine Technician OCP C (300 hours),2,"Transportation, Distribution & Logistics"
DIM,105,Diesel Brakes Technician OCP D (300 hours),2,"Transportation, Distribution & Logistics"
DIM,106,Diesel Heating and Air Conditioning Technician OCP E (150 hours),1,"Transportation, Distribution & Logistics"
DIM,107,Diesel Steering and Suspension Technician OCP B (150 hours),1,"Transportation, Distribution & Logistics"
DIM,108,Diesel Drivetrain OCP C (150 hours),1,"Transportation, Distribution & Logistics"
DIM,109,Diesel Hydraulics Technician OCP D (150 hours),1,"Transportation, Distribution & Logistics"
DIM,110,Diesel Power Train Technician OCP I (150 hours),1,"Transportation, Distribution & Logistics"
DIM,130,Diesel Brake/Fluid Technician (300 hours),2,"Transportation, Distribution & Logistics"
DIM,201,Power Train Systems OCP I Part 1 of 2,1,"Transportation, Distribution & Logistics"
DIM,302,Diesel Elect/Electronics OCP B Part 1 of 2,1,"Transportation, Distribution & Logistics"
DIM,303,Diesel Elect/Electronics OCP B Part 2 of 2,1,"Transportation, Distribution & Logistics"
DIM,500,Suspension and Under Carriages,0.5,"Transportation, Distribution & Logistics"
DIM,610,Heavy Duty Cab Temperature Control Systems,0.5,"Transportation, Distribution & Logistics"
DIM,810,Transit Equipment Preventive Maintenance Technician OCP A (200 hours),1.5,"Transportation, Distribution & Logistics"
DIM,811,Transit Basic Electrical Systems Technician OCP B (120 hours),1,"Transportation, Distribution & Logistics"
DIM,812,Transit Wheelchair Lift/Ramp Technician OCP C (60 hours),0.5,"Transportation, Distribution & Logistics"
DIM,813,Transit Diesel Engine Preventive Maintenance Technician OCP D (120 hours),1,"Transportation, Distribution & Logistics"
DIM,814,Transit Steering and Suspension Technician OCP E (120 hours),1,"Transportation, Distribution & Logistics"
DIM,820,Transit Hydraulics Technician OCP A (60 hours),0.5,"Transportation, Distribution & Logistics"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
DIM,821,Transit Diesel Electrical and Diesel Engine Electronics Technician OCP B (120 hours),1,"Transportation, Distribution & Logistics"
DIM,822,Transit Drivetrain Technician OCP C (120 hours),1,"Transportation, Distribution & Logistics"
DIM,823,Transit Intermediate Electrical Systems Technician OCP D (120 hours),1,"Transportation, Distribution & Logistics"
DIM,824,Transit Brakes/Air System Technology OCP E (200 hours),1.5,"Transportation, Distribution & Logistics"
DIM,830,Transit Alternative Fuels Systems Technician OCP A (120 hours),1,"Transportation, Distribution & Logistics"
DIM,831,Transit Advanced Electrical Systems Technician OCP B (120 hours),1,"Transportation, Distribution & Logistics"
DIM,832,Transit Heating and Air-Conditioning Technician OCP C (200 hours),1,"Transportation, Distribution & Logistics"
DIM,833,"Transmission Diagnosis, Rebuild and Repair Technician OCP D (120 hours)",1,"Transportation, Distribution & Logistics"
DIM,834,"Diesel Engine Diagnosis, Rebuild and Repair Technician OCP E (120 hours)",1,"Transportation, Distribution & Logistics"
DIM,940,Internships/Practicums/Clinical Practice,0.5,"Transportation, Distribution & Logistics"
DSC,X005,Terrorism in Today’s World,0.5,"Law, Public Safety & Security"
DSC,X006,Introduction to Homeland Security,0.5,"Law, Public Safety & Security"
EDG,312,Substitute Teacher OCP A (150 hours),1,Education and Training
EDG,317,Teacher Assisting OCP B (450 hours),3,Education and Training
EEC,X200,Overview- Teacher Aide,0.5,Education and Training
EEC,X603,Development and Guidance,0.5,Education and Training
EER,6,Electronics Equipment Repairer (150 hours),1,Manufacturing
EER,52,Telecommunications Installation and Repair Specialist OCP B (150 hours),1,"Arts, A/V Technology & Communication"
EER,90,Biomedical Electronics Troubleshooter 1 (150 hours),1,Health Science
EER,91,Biomedical Electronics Repair Technician (150 hours),1,Health Science
EER,92,Biomedical Imaging Equipment 1 (270 hours),1.5,Health Science
EER,93,Biomedical Imaging Equipment Technician (270 hours),1.5,Health Science
EET,X005C,Introduction to Electronics I: Non-Majors (L),0.5,Manufacturing
EET,X015,Basic Electricity- DC (L),0.5,Manufacturing
EET,X015C,Basic Electricity- DC (L),0.5,Manufacturing
EET,X025,Basic Electricity- AC (L),0.5,Manufacturing
EET,X025C,Basic Electricity- AC (L),0.5,Manufacturing
EET,X035,AC/DC Circuits (L),0.5,Manufacturing
EET,X035C,AC/DC Circuits (L),0.5,Manufacturing
EET,X036,DC/AC Circuits with Limited Analysis (L),0.5,Manufacturing
EET,X036C,DC/AC Circuits with Limited Analysis (L),0.5,Manufacturing
EET,X037,DC/AC Analysis (U),0.5,Manufacturing
EET,X037C,DC/AC Analysis (U),0.5,Manufacturing
EET,X038C,Introduction to Engineering Technology (L),0.5,Manufacturing
EET,X084,Survey of Electronics (L),0.5,Manufacturing
EET,X084C,Survey of Electronics (L),0.5,Manufacturing
EET,X101C,Vacuum Tubes & Semiconductor Devices (L),0.5,Manufacturing
EET,X124,Linear Circuits (L),0.5,Manufacturing
EET,X141,Electronic Devices & Circuits I (L),0.5,Manufacturing
EET,X141C,Electronic Devices & Circuits I (L),0.5,Manufacturing
EET,X142,Electronic Devices & Circuits II (L),0.5,Manufacturing
EET,X142C,Electronic Devices & Circuits II (L),0.5,Manufacturing
EET,X155C,Linear Integrated Circuits (L),0.5,Manufacturing
EET,X215C,Electronic Instrumentation (L),0.5,Manufacturing
EET,X605C,Fabrication Methods (L),0.5,Manufacturing
EET,X607C,Printed Circuit Board Fabri & Soldering (L),0.5,Manufacturing
EET,X609C,Electronic Fabrication & Fiber Optics (L),0.5,Manufacturing
EEV,10,Electronics Assembler OCP A (250 hours),2,Manufacturing
EEV,100,Electronics Tester OCP B (400 hours),3,Manufacturing
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
EEV,140,Electric Motor & Generator Mechanics: Votech Program,3,Manufacturing
EEV,141,Electrical Motor & Generator Mechanics,3,Manufacturing
EEV,142,DC Machinery and Controls,3,Manufacturing
EEV,203,"Solar Thermal System Design, Installation and Maintenance Helper (300 hours)",2,Energy
EEV,204,"Solar Thermal System Design, Installation and Maintenance Technician (300 hours)",2,Energy
EEV,205,"Solar Photovoltaic System Design, Installation and Maintenance Helper",1,Energy
EEV,206,"Solar Photovoltaic System Design, Installation and Maintenance Technician",3,Energy
EEV,317,Data Communications Analyst OCP G (150 hours),1,Information Technology (IT)
EEV,500,Electronics Equipment Repairer OCP A (375 hours),2.5,Manufacturing
EEV,504,Computer Support Assistant OCP B (150 hours),1,Information Technology (IT)
EEV,505,Computer Support Specialist OCP B (300 hours),2,Information Technology (IT)
EEV,616,Electronics Technician OCP A (375 hours),3,Manufacturing
EEV,650,Electrician (Construction) OCP A (350 hours),2,Architecture & Construction
EEV,652,Instrument Mechanic OCP B (350 hours),2,Manufacturing
EEV,654,Electrician Maintenance OCP C (300 hours),2,Manufacturing
EEV,656,Instrument Technician OCP A (400 hours),2.5,Manufacturing
EEV,658,Operating Engineer Assistant Stationary OCP B (400 hours),2.5,Manufacturing
EEV,752,Electromechanical Assembler (500 hours),3,Manufacturing
EEV,753,Mechanical Technician (400 hours),2.5,Manufacturing
EEV,820,Electronic Digital and Microprocessor Technician 150 hours,1,Manufacturing
EGN,X002,Introduction to Engineering (L),0.5,Manufacturing
EGN,X002C,Introduction to Engineering (L),0.5,Manufacturing
EGN,X111,Graphics for Engineers (L),0.5,Manufacturing
EGN,X111C,Graphics for Engineers (L),0.5,Manufacturing
EMS,2,Public Safety Telecommunication (PSAV),1.5,"Law, Public Safety & Security"
EMS,50,Emergency Medical Responder 100 hours,1,Health Science
EMS,110,Emergency Medical Technician (300 hours),2,Health Science
EMS,159,Emergency Medical Technician OCP B (160 hours),1,Health Science
EMS,200,Fundamentals of Paramedics (PSAV),1,Health Science
EMS,201,Paramedic Clinical Experience 1 (PSAV),0.5,Health Science
EMS,202,Trauma/Medical/Pediatrics for Paramedics (PSAV),0.5,Health Science
EMS,203,Paramedics Clinical Experience 2 (PSAV),1,Health Science
EMS,209,Paramedic Field Internship (PSAV),1.5,Health Science
EMS,210,Paramedic I (248 hours),1.5,Health Science
EMS,211,Paramedic II (426 hours),2.5,Health Science
EMS,212,Paramedic III (426 hours),2.5,Health Science
EMS,219,Paramedic (1 of 3) OCP B (336 hours),2,Health Science
EMS,220,Paramedic (2 of 3) OCP B (336 hours),2,Health Science
EMS,221,Paramedic (3 of 3) OCP B (338 hours),2,Health Science
EMS,0110C,Emergency Medical Technician (300 hours),2,Health Science
EMS,0159C,Emergency Medical Technician OCP B (160 hours),1,Health Science
EMS,0200L,Fundamentals of Paramedics (PSAV),0.5,Health Science
EMS,0210C,Paramedic I (248 hours),1.5,Health Science
EMS,0211C,Paramedic II (426 hours),2.5,Health Science
EMS,0212C,Paramedic III (426 hours),1.5,Health Science
EMS,X010,Essentials of Structure and Function,0.5,Health Science
EMS,X010C,Essentials of Structure and Function,0.5,Health Science
EMS,X059,First Responder (1 course),0.5,Health Science
EMS,X059C,First Responder (1 course),0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
EMS,X119,EMT Lecture (One Course),1,Health Science
EMS,X119C,EMT Lecture (ONE Course),1,Health Science
EMS,X119L,EMT Lecture (One Course),0.5,Health Science
EMS,X158,Emergency Medical Technician (College),1,Health Science
EMS,X158C,Emergency Medical Technician (College),2,Health Science
EMS,X158L,Emergency Medical Technician (College),0.5,Health Science
EMS,X231,Paramedic I,0.5,Health Science
EMS,X231C,Paramedic I,0.5,Health Science
EMS,X231L,Paramedic I,0.5,Health Science
EMS,X232,Paramedic II,0.5,Health Science
EMS,X232C,Paramedic II,0.5,Health Science
EMS,X232L,Paramedic II,0.5,Health Science
EMS,X236L,Paramedic Lab (AS Transfer) (4 hours),0.5,Health Science
EMS,X311,EMS Administration/Management,0.5,Health Science
EMS,X401,EMT Clinical/Lab Combo,0.5,Health Science
EMS,X401L,EMT Clinical/Lab Combo,1,Health Science
EMS,X425,EMT Field Experience,0.5,Health Science
EMS,X425L,EMT Field Experience,0.5,Health Science
EMS,X431C,EMT Hospital/Field Experience,0.5,Health Science
EMS,X435,EMT: Hospital/Field Experience I,0.5,Health Science
EMS,X435L,EMT: Hospital/Field Experience I,0.5,Health Science
EMS,X436,EMT: Hospital/Field Experience II,0.5,Health Science
EMS,X436L,EMT: Hospital/Field Experience II,0.5,Health Science
EMS,X439,EMT: Hospital/Field Combination,0.5,Health Science
EMS,X458,Field Internship (Field Only),0.5,Health Science
EMS,X458L,Field Internship (Field Only),0.5,Health Science
EMS,X464,Paramedic: Clinical/Hospital/Vehicle,0.5,Health Science
EMS,X465,Paramedic: Clinical/Hospital/Vehicle (Cont.),0.5,Health Science
EMS,X600,Paramedic Fundamentals,0.5,Health Science
EMS,X600C,Paramedic Fundamentals,0.5,Health Science
EMS,X601,Modules 1-4 (1 of 2),1,Health Science
EMS,X601L,Modules 1-4 (1 of 2),0.5,Health Science
EMS,X602,Modules 5-8 (2 of 2),1,Health Science
EMS,X602C,Modules 5-8 (2 of 2),2,Health Science
EMS,X602L,Modules 5-8 (2 of 2),0.5,Health Science
EMS,X603,Modules 1-3 (1 of 3),1,Health Science
EMS,X603C,Modules 1-3 (1 of 3),2,Health Science
EMS,X603L,Modules 1-3 (1 of 3),0.5,Health Science
EMS,X604,Modules 4-5 (2 of 3),1,Health Science
EMS,X604C,Modules 4-5 (2 of 3),1.5,Health Science
EMS,X604L,Modules 4-5 (2 of 3),0.5,Health Science
EMS,X605,Modules 6-8 (3 of 3),1,Health Science
EMS,X605C,Modules 6-8 (3 of 3),1.5,Health Science
EMS,X605L,Modules 6-8 (3 of 3),0.5,Health Science
EMS,X615,Medical (Module 5),0.5,Health Science
EMS,X616,Special Considerations (Modules 6),0.5,Health Science
EMS,X619,Medical Emergencies II,0.5,Health Science
EMS,X620,Paramedics I,1,Health Science
EMS,X620C,Paramedics I,1.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
EMS,X620L,Paramedics I,0.5,Health Science
EMS,X621,Paramedics Clinical I,1,Health Science
EMS,X621C,Paramedics Clinical I,1.5,Health Science
EMS,X621L,Paramedics Clinical I,0.5,Health Science
EMS,X627,Medical Emergencies,0.5,Health Science
EMS,X631,Paramedic Science I,0.5,Health Science
EMS,X632,Paramedic Science II,0.5,Health Science
EMS,X633,Paramedic Science II- Cardiorespiratory,0.5,Health Science
EMS,X634,Paramedic Science III- Trauma,0.5,Health Science
EMS,X635,Paramedic Science III- Medical Emergencies,0.5,Health Science
EMS,X636,Paramedic Science IV,0.5,Health Science
EMS,X645,Hospital/Health Care Agency Clinical (Modules 5-8) 2 of 2,0.5,Health Science
EMS,X653,Field Clinical Internship (4 of 4),0.5,Health Science
EMS,X654L,Field Clinical (Modules 1-4) 1 of 2,0.5,Health Science
EMS,X655L,Field Clinical (Modules 5-8) 2 of 2,0.5,Health Science
EMS,X656,Paramedic Clinical Experience I,0.5,Health Science
EMS,X658,Paramedic Clinical Experience III,0.5,Health Science
EMS,X659,Field Internship (Modules 1-8),0.5,Health Science
EMS,X659L,Field Internship (Modules 1-8),0.5,Health Science
EMS,X661,Paramedic Field Internship,0.5,Health Science
EMS,X664,Hospital/Field Combination Clinical (Modules 1-4) 1 of 2,0.5,Health Science
EMS,X664L,Hospital/Field Combination Clinical (Modules 1-4) 1 of 2,0.5,Health Science
EMS,X665,Hospital/Field Combination Clinical (Modules 5-8) 2 of 2,0.5,Health Science
EMS,X665L,Hospital/Field Combination Clinical (Modules 5-8) 2 of 2,0.5,Health Science
EMS,X666,Hospital/Field Combination Clinical (Modules 1-3) Part 1 of 3,0.5,Health Science
EMS,X666L,Hospital/Field Combination Clinical (Modules 1-3) Part 1 of 3,0.5,Health Science
EMS,X667,Hospital/Field Combination Clinical (Modules 4-5) 2 of 3,0.5,Health Science
EMS,X667L,Hospital/Field Combination Clinical (Modules 4-5) 2 of 3,0.5,Health Science
EMS,X668,Hospital/Field Combination Clinical (Modules 6-8) 3 of 3,0.5,Health Science
EMS,X668,Paramedic Medical Emergencies,0.5,Health Science
EMS,X668L,Hospital/Field Combination Clinical (Modules 6/8) 3 of 3,0.5,Health Science
EMS,X686,Paramedic Special Emergencies,0.5,Health Science
EMS,X810C,EMT or Paramedic Equivalency Assessment,0.5,Health Science
EMS,X921,Colloquiums/Symposiums/Workshops,0.5,Health Science
EMS,X921L,Colloquiums/Symposiums/Workshops,0.5,Health Science
ETC,3,Public Works Cadet 1 OCP A (150 hours),1,Government & Public Administration
ETC,4,Public Works Cadet 2 OCP B (150 hours),1,Government & Public Administration
ETC,5,Public Works Cadet 3 OCP C (150 hours),1,Government & Public Administration
ETD,X320,Basic Introduction to CAD,0.5,Architecture & Construction
ETD,X320C,Basic Introduction to CAD,0.5,Architecture & Construction
ETD,X340,Intermediate CAD,0.5,Architecture & Construction
ETD,X340C,Intermediate CAD,0.5,Architecture & Construction
ETD,X350,Advanced Computer Aided Drafting,0.5,Architecture & Construction
ETD,X350C,Advanced Computer Aided Drafting,0.5,Architecture & Construction
ETD,X357C,Parametric Modeling Level I Inventor,0.5,Architecture & Construction
ETD,X364,Solidworks I,0.5,Architecture & Construction
ETD,X364C,Solidworks I,0.5,Architecture & Construction
ETD,X368,Solidworks II,0.5,Architecture & Construction
ETD,X368C,Solidworks II,0.5,Architecture & Construction
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
ETD,X369C,Solidworks Advanced Applications,0.5,Architecture & Construction
ETD,X372,Rapid Prototyping II,0.5,Architecture & Construction
ETD,X372C,Rapid Prototyping II,0.5,Architecture & Construction
ETD,X390,Introduction to Architectural Revit (L),0.5,Architecture & Construction
ETD,X390C,Introduction to Architectural Revit (L),0.5,Architecture & Construction
ETD,X391,Computer Aided Design IV (L),0.5,Architecture & Construction
ETD,X614C,Basic Electrical Drafting (3 to 4 hours),0.5,Architecture & Construction
